City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
276,Maragogi,BR,-9.0122,-35.2225,79.14,78,13,7.38,few clouds
277,Narsaq,GL,60.9167,-46.05,25.02,96,100,0.67,overcast clouds
278,Key West,US,24.5557,-81.7826,84.0,78,1,10.0,clear sky
279,Avera,US,33.194,-82.5271,67.55,95,100,17.2,overcast clouds
280,Bengkulu,ID,-3.8004,102.2655,74.46,91,97,3.78,overcast clouds
281,Bowen,AU,-20.0167,148.2333,72.95,71,0,9.19,clear sky
282,Rota,ES,36.6224,-6.3586,66.33,72,0,10.36,clear sky
283,Leo,BF,11.1,-2.1,82.2,28,86,1.83,overcast clouds
284,Mexico,PH,15.0646,120.7198,80.31,89,30,4.72,scattered clouds
285,Claresholm,CA,50.0333,-113.5852,20.79,67,23,0.0,few clouds
286,Saint-Leu,RE,-21.15,55.2833,72.32,84,28,9.42,scattered clouds
287,Ramsar,IR,36.9226,50.6426,56.64,82,40,2.3,scattered clouds
288,Lebu,CL,-37.6167,-73.65,57.88,81,54,18.25,broken clouds
289,Camacha,PT,33.0833,-16.3333,65.62,77,20,3.44,few clouds
290,Herat,AF,34.5,62.0,48.47,53,100,6.71,overcast clouds
291,Pangnirtung,CA,66.1451,-65.7125,1.4,71,20,4.61,few clouds
292,Ust-Ilimsk,RU,58.0006,102.6619,24.01,93,96,9.48,overcast clouds
293,Coihaique,CL,-45.5752,-72.0662,63.21,63,75,2.3,broken clouds
294,Domoni,KM,-12.2569,44.5319,75.92,79,6,3.04,clear sky
295,Igrim,RU,63.1906,64.4162,24.64,97,100,6.76,light snow
296,Lasa,IT,46.6166,10.7002,49.59,48,97,0.72,overcast clouds
297,Gizo,SB,-8.103,156.8419,80.87,77,100,5.23,moderate rain
298,Port Hedland,AU,-20.3167,118.5667,69.85,88,5,9.22,clear sky
299,Marshall,US,34.3834,-86.3333,67.93,84,100,9.22,overcast clouds
300,Tupik,RU,54.4253,119.9327,-3.57,96,7,2.35,clear sky
301,Gigmoto,PH,13.7796,124.39,79.68,87,95,5.1,overcast clouds
302,Eureka,US,40.8021,-124.1637,58.93,80,31,5.01,scattered clouds
303,Santa Maria,BR,-29.6842,-53.8069,72.7,68,75,8.05,broken clouds
304,Srednekolymsk,RU,67.45,153.6833,-28.82,100,85,3.4,overcast clouds
305,Bitam,GA,2.076,11.5007,68.86,97,100,1.43,light rain
306,Rexburg,US,43.826,-111.7897,26.58,68,100,4.61,overcast clouds
307,Swift Current,CA,50.2834,-107.8014,9.41,78,0,4.61,clear sky
308,San Vicente,AR,-26.6167,-54.1333,73.56,75,97,1.54,overcast clouds
309,Pitimbu,BR,-7.4706,-34.8086,84.79,72,16,8.12,few clouds
310,Nakhon Thai,TH,17.1006,100.8374,70.18,88,100,2.28,overcast clouds
311,Bela,IN,25.9333,81.9833,67.44,48,0,5.23,clear sky
312,Baculin,PH,7.4525,126.5842,78.35,85,99,7.0,overcast clouds
313,Evensk,RU,61.95,159.2333,19.47,94,100,15.5,snow
314,Aklavik,CA,68.2191,-135.0107,7.66,95,45,3.38,scattered clouds
315,Mizdah,LY,31.4451,12.9801,61.39,68,41,7.92,scattered clouds
316,Tuatapere,NZ,-46.1333,167.6833,55.4,79,100,2.24,overcast clouds
317,Daru,PG,-9.0763,143.2092,78.89,83,81,10.78,broken clouds
