City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
165,Awjilah,LY,2022-11-09 18:51:55,29.1081,21.2869,67.48,50,0,7.45
166,Coquimbo,CL,2022-11-09 18:49:29,-29.9533,-71.3436,58.73,88,100,11.5
167,Haines Junction,CA,2022-11-09 18:57:14,60.7522,-137.5108,3.15,92,100,1.14
168,Broome,US,2022-11-09 18:57:15,42.2506,-75.833,58.44,26,1,7.0
169,Tomatlan,MX,2022-11-09 18:57:16,19.9333,-105.25,87.53,52,0,5.77
170,Faanui,PF,2022-11-09 18:49:28,-16.4833,-151.75,79.12,78,30,14.52
171,Hobart,AU,2022-11-09 18:47:55,-42.8794,147.3294,58.86,72,41,10.36
172,Kindu,CD,2022-11-09 18:57:16,-2.95,25.95,67.41,99,100,2.13
173,Kimberley,ZA,2022-11-09 18:57:17,-28.7323,24.7623,69.49,26,0,9.22
174,Porto Belo,BR,2022-11-09 18:57:17,-27.1578,-48.5531,74.79,75,25,7.38
175,Hualmay,PE,2022-11-09 18:57:17,-11.0964,-77.6139,68.23,72,24,10.76
176,Ulladulla,AU,2022-11-09 18:57:18,-35.35,150.4667,53.51,85,0,4.21
177,Leninskoye,KZ,2022-11-09 18:57:18,41.7589,69.3864,37.31,59,12,3.27
178,Brae,GB,2022-11-09 18:57:19,60.3964,-1.353,51.24,82,100,26.49
179,San Patricio,US,2022-11-09 18:57:19,28.017,-97.5169,84.83,56,92,14.54
180,Bandarbeyla,SO,2022-11-09 18:58:19,9.4942,50.8122,79.54,79,44,8.72
181,Baltasi,RU,2022-11-09 18:53:20,56.3462,50.2062,36.64,98,100,11.1
182,Butterworth,MY,2022-11-09 18:58:20,5.3991,100.3638,82.0,91,20,2.3
183,Susanville,US,2022-11-09 18:58:20,40.4163,-120.653,37.9,72,0,17.27
184,Olga,RU,2022-11-09 18:58:21,43.7444,135.2892,41.47,65,100,6.58
185,Victoria,HK,2022-11-09 18:48:02,22.2855,114.1577,75.38,86,0,8.01
186,Doha,QA,2022-11-09 18:58:21,25.2867,51.5333,85.89,65,0,11.5
187,Capitao Poco,BR,2022-11-09 18:58:21,-1.7464,-47.0594,90.48,45,97,5.35
188,Tuatapere,NZ,2022-11-09 18:58:22,-46.1333,167.6833,44.89,77,3,4.14
189,Castro,BR,2022-11-09 18:49:19,-24.7911,-50.0119,74.12,36,6,6.85
190,Rundu,NA,2022-11-09 18:58:22,-17.9333,19.7667,80.76,35,76,5.39
191,Georgiyevka,KZ,2022-11-09 18:58:23,43.0369,74.7114,28.44,100,14,4.47
192,Aksu,CN,2022-11-09 18:58:23,41.1231,80.2644,42.85,53,7,4.56
193,Fairbanks,US,2022-11-09 18:57:08,64.8378,-147.7164,22.6,88,100,3.44
194,Hofn,IS,2022-11-09 18:58:23,64.2539,-15.2082,42.82,81,75,11.5
195,Novopokrovka,UA,2022-11-09 18:58:24,49.8425,36.5477,41.29,74,13,3.78
196,Jiaocheng,CN,2022-11-09 18:58:24,24.6774,116.1389,66.88,89,0,1.9
197,Grand-Santi,GF,2022-11-09 18:58:24,4.25,-54.3833,84.22,75,89,2.48
198,Iracoubo,GF,2022-11-09 18:58:25,5.4802,-53.2011,79.14,84,100,8.57
199,Bubaque,GW,2022-11-09 18:58:25,11.2833,-15.8333,83.08,68,6,10.92
200,Codrington,AU,2022-11-09 18:58:25,-38.2667,141.9667,71.35,50,100,19.26
201,Asau,RO,2022-11-09 18:49:24,46.4333,26.4,42.28,77,14,4.21
202,Guerrero Negro,MX,2022-11-09 18:58:26,27.9769,-114.0611,70.32,55,4,12.75
203,Longyearbyen,SJ,2022-11-09 18:50:36,78.2186,15.6401,21.04,73,0,12.66
204,Yerbogachen,RU,2022-11-09 18:58:26,61.2767,108.0108,19.27,92,100,11.72
205,Misratah,LY,2022-11-09 18:58:27,32.3754,15.0925,68.94,62,10,7.34
206,Athy,IE,2022-11-09 18:58:27,52.9914,-6.9803,53.92,86,80,13.8
207,Poshekhonye,RU,2022-11-09 18:58:27,58.4993,39.1353,44.96,97,100,10.92
208,Paka,MY,2022-11-09 18:58:28,4.6374,103.4368,77.38,94,100,0.0
209,Torbay,CA,2022-11-09 18:51:55,47.6666,-52.7314,37.27,78,75,24.16
210,Nuuk,GL,2022-11-09 18:58:28,64.1835,-51.7216,16.88,57,100,4.0
211,Mayor Pablo Lagerenza,PY,2022-11-09 18:58:29,-19.9309,-60.7718,104.23,14,54,12.48
212,Sibu,MY,2022-11-09 18:53:59,2.3,111.8167,75.51,100,40,2.3
213,Ilulissat,GL,2022-11-09 18:53:08,69.2167,-51.1,-7.78,78,87,5.79
214,Montevideo,UY,2022-11-09 18:57:53,-34.8335,-56.1674,75.22,66,0,18.41
215,Orel-Izumrud,RU,2022-11-09 18:58:29,43.4583,39.9244,51.82,93,100,6.71
216,Dromolaxia,CY,2022-11-09 18:58:29,34.8761,33.586,60.04,77,20,5.75
217,Birjand,IR,2022-11-09 18:58:30,32.8663,59.2211,48.67,34,20,4.61
218,Narsaq,GL,2022-11-09 18:58:30,60.9167,-46.05,27.88,83,100,2.17
219,Sur,OM,2022-11-09 18:58:30,22.5667,59.5289,79.36,65,3,4.47
220,Mana,GF,2022-11-09 18:58:31,5.6592,-53.7767,80.69,80,96,9.4
221,Svetlaya,RU,2022-11-09 18:58:31,46.5389,138.3297,35.96,41,0,16.55
222,Miandrivazo,MG,2022-11-09 18:58:31,-19.5167,45.4667,79.86,76,98,4.74
223,Port Lincoln,AU,2022-11-09 18:58:32,-34.7333,135.8667,61.18,81,100,12.84
224,Muzhi,RU,2022-11-09 18:58:32,65.3667,64.6667,18.18,97,95,5.17
225,Abha,SA,2022-11-09 18:58:32,18.2164,42.5053,62.42,82,0,6.91
226,Hithadhoo,MV,2022-11-09 18:53:06,-0.6,73.0833,81.99,77,43,16.84
227,Nouakchott,MR,2022-11-09 18:58:33,18.0858,-15.9785,80.53,64,100,13.69
228,Chokwe,MZ,2022-11-09 18:58:33,-24.5333,32.9833,86.38,50,90,6.06
229,Jijiga,ET,2022-11-09 18:59:33,9.35,42.8,66.15,69,17,2.44
230,Aklavik,CA,2022-11-09 18:59:34,68.2191,-135.0107,8.6,92,20,2.3
231,Singapore,SG,2022-11-09 18:56:50,1.2897,103.8501,78.75,90,75,3.44
232,Cockburn Town,TC,2022-11-09 18:59:34,21.4612,-71.1419,81.27,71,2,3.78
233,Dolinsk,RU,2022-11-09 18:59:34,47.35,142.8,39.7,62,2,18.5
234,Dikson,RU,2022-11-09 18:59:35,73.5069,80.5464,5.18,88,99,6.38
235,Rio Grande,BR,2022-11-09 18:59:36,-32.035,-52.0986,75.31,69,7,11.54
236,Bethel,US,2022-11-09 18:46:23,41.3712,-73.414,54.03,37,0,5.75
237,Emerald,AU,2022-11-09 18:54:45,-23.5333,148.1667,60.35,82,99,9.1
238,Dalfsen,NL,2022-11-09 18:59:36,52.5,6.25,55.18,91,100,13.51
239,Campo Maior,BR,2022-11-09 18:59:36,-4.8278,-42.1686,96.12,25,74,6.55
240,Yulara,AU,2022-11-09 18:53:11,-25.2406,130.9889,77.67,25,100,8.46
